Customer ID,Region,Country,State,Phone Number,Category,Product,Price,Units Sold,Profit,Mode of Payment,Revenue,Revenue Label,Profit %
CUST1037,East,India,Maharashtra,9729755086,Clothing,Jacket,1708.1,3,897.22,Credit Card,5124.3,Medium,17.51
CUST1038,East,India,Uttar Pradesh,9291717779,Electronics,Headphones,1616.55,14,6621.29,Credit Card,22631.7,High,29.26
CUST1039,East,India,Karnataka,9596984707,Clothing,Jeans,1774.62,7,3378.16,Credit Card,12422.34,High,27.19
CUST1040,South,India,Gujarat,9621477109,Electronics,Smartphone,644.14,12,988.52,Cash,7729.68,Medium,12.79
CUST1041,South,India,West Bengal,9813614929,Furniture,Sofa,1767.47,13,3353.4,UPI,22977.11,High,14.59
CUST1042,East,India,Tamil Nadu,9314930259,Clothing,Dress,2506.6,11,8011.16,UPI,27572.6,High,29.05
CUST1043,West,India,West Bengal,93262535688,Electronics,Tablet,727.87,2,385.93,Credit Card,1455.74,Low,26.51
CUST1044,West,India,Uttar Pradesh,9922473225,Furniture,Sofa,2509.39,4,2607.48,Credit Card,10037.56,High,25.98
CUST1045,North,India,Rajasthan,9435049619,Electronics,Monitor,254.27,5,247.89,Net Banking,1271.35,Low,19.50
CUST1046,East,India,Uttar Pradesh,9139717689,Electronics,Tablet,1104.23,11,1883.37,Credit Card,12146.53,High,15.51
CUST1047,South,India,West Bengal,9873282041,Electronics,Laptop,861.53,3,482.01,Debit Card,2584.59,Low,18.65
CUST1048,North,India,West Bengal,9520705759,Clothing,T-shirt,940.76,4,842.47,Debit Card,3763.04,Low,22.39
CUST1049,East,India,West Bengal,9648648568,Clothing,T-shirt,1505.5,11,3985.19,Debit Card,16560.5,High,24.06
CUST1050,West,India,Uttar Pradesh,9416435713,Clothing,Jeans,1477.49,11,2428.98,Credit Card,16252.39,High,14.95
CUST1051,East,India,Rajasthan,9211381294,Furniture,Chair,704.64,2,163.57,UPI,1409.28,Low,11.61
CUST1052,North,India,West Bengal,9791244114,Furniture,Cupboard,2030.2,13,3695.03,Net Banking,26392.6,High,14.00
CUST1053,West,India,Rajasthan,9194670146,Clothing,Shirt,1822.28,4,1973.2,Cash,7289.12,Medium,27.07
CUST1054,North,India,Maharashtra,9519275644,Furniture,Sofa,600.18,11,1525.57,Credit Card,6601.98,Medium,23.11
CUST1055,South,India,Maharashtra,9520013561,Clothing,T-shirt,2330.36,7,3532.26,Debit Card,16312.52,High,21.65
CUST1056,North,India,Gujarat,95989895092,Electronics,Headphones,1084.67,13,4140.14,Cash,14100.71,High,29.36
CUST1057,East,India,Uttar Pradesh,9499862542,Furniture,Cupboard,1893.55,12,3204.64,Net Banking,22722.6,High,14.10
CUST1058,North,India,Gujarat,9724136290,Furniture,Chair,1747.22,6,2678.22,Cash,10483.32,High,25.55
CUST1059,East,India,Gujarat,9321909198,Furniture,Bookshelf,287.31,8,381.56,Debit Card,2298.48,Low,16.60
CUST1060,North,India,Maharashtra,9760693305,Clothing,Shirt,1700.05,2,383.92,UPI,3400.1,Low,11.29
CUST1061,East,India,Gujarat,9658575570,Furniture,Bookshelf,1180.31,7,847.73,UPI,8262.17,Medium,10.26
CUST1062,South,India,Gujarat,9950273824,Furniture,Cupboard,653.35,4,345.46,Credit Card,2613.4,Low,13.22
CUST1063,South,India,Tamil Nadu,9898816813,Electronics,Laptop,1881.74,4,1363.83,Debit Card,7526.96,Medium,18.12
CUST1064,North,India,Rajasthan,9571594565,Furniture,Table,1206.35,15,2801.82,UPI,18095.25,High,15.48
CUST1065,South,India,Maharashtra,9684352160,Clothing,Jacket,1849.95,5,2111.02,Debit Card,9249.75,Medium,22.82
CUST1066,West,India,West Bengal,9845713875,Electronics,Tablet,1896.1,5,2676.46,Debit Card,9480.5,Medium,28.23
CUST1067,South,India,Tamil Nadu,85,Furniture,Bookshelf,1799.6,6,1551.79,Cash,10797.6,High,14.37
CUST1068,North,India,Karnataka,9304184751,Furniture,Cupboard,1330.26,2,669.54,Credit Card,2660.52,Low,25.17
CUST1069,North,India,Rajasthan,9141039856,Electronics,Smartphone,322.57,13,684.45,Debit Card,4193.41,Low,16.32
CUST1070,East,India,Tamil Nadu,9640589740,Electronics,Tablet,1510.41,1,434.79,Net Banking,1510.41,Low,28.79
CUST1071,South,India,Karnataka,9406517796,Clothing,Dress,1085.52,4,749.57,Credit Card,4342.08,Low,17.26
CUST1072,South,India,Maharashtra,9606169051,Furniture,Table,1441.79,14,3929.03,Debit Card,20185.06,High,19.47
CUST1073,North,India,Rajasthan,9350461925,Furniture,Cupboard,686.64,8,878.07,Credit Card,5493.12,Medium,15.98
CUST1074,West,India,West Bengal,9996467468,Clothing,Dress,2830.64,6,1830.75,Credit Card,16983.84,High,10.78
CUST1075,West,India,Rajasthan,9128345710,Electronics,Headphones,2619.08,6,4245.23,Net Banking,15714.48,High,27.01
CUST1076,East,India,Gujarat,9392055351,Clothing,Jeans,503.93,11,1183.48,Cash,5543.23,Medium,21.35
CUST1077,South,India,Tamil Nadu,9980141994,Furniture,Bookshelf,467.71,12,1223.23,Credit Card,5612.52,Medium,21.79
CUST1078,West,India,Maharashtra,9403999543,Furniture,Chair,2307.34,14,3571.15,Debit Card,32302.76,High,11.06
CUST1079,North,India,Uttar Pradesh,9164427200,Electronics,Tablet,1513.57,14,5761.18,Credit Card,21189.98,High,27.19
CUST1080,North,India,Maharashtra,858947,Furniture,Cupboard,2213.45,3,867.33,Debit Card,6640.35,Medium,13.06
CUST1081,South,India,Tamil Nadu,9789825611,Clothing,Dress,384.21,5,354.16,Debit Card,1921.05,Low,18.44
CUST1082,East,India,Maharashtra,9371462183,Electronics,Headphones,498.41,7,435.36,UPI,3488.87,Low,12.48
CUST1083,North,India,Maharashtra,9444893207,Clothing,Dress,1599.24,10,4368.75,UPI,15992.4,High,27.32
CUST1084,West,India,Rajasthan,9339358166,Furniture,Sofa,962.07,9,905.89,UPI,8658.63,Medium,10.46
CUST1085,West,India,West Bengal,9119201960,Furniture,Bookshelf,1673.22,7,1935.04,Debit Card,11712.54,High,16.52
CUST1086,West,India,Tamil Nadu,9161700373,Clothing,T-shirt,791.24,4,366.17,UPI,3164.96,Low,11.57
CUST1087,South,India,Uttar Pradesh,9242580997,Clothing,Jeans,1210.86,3,698.75,UPI,3632.58,Low,19.24
CUST1088,North,India,Gujarat,9370714466,Clothing,T-shirt,619.57,7,562.75,UPI,4336.99,Low,12.98
CUST1089,West,India,Maharashtra,9427647839,Electronics,Monitor,308.5,15,802.96,Credit Card,4627.5,Low,17.35
CUST1090,East,India,Maharashtra,9942075195,Clothing,Dress,1853.37,5,1661.2,Credit Card,9266.85,Medium,17.93
CUST1091,South,India,Rajasthan,9857569233,Clothing,Jacket,2501.48,6,4142.52,Net Banking,15008.88,High,27.60
CUST1092,South,India,Karnataka,9944969047,Electronics,Laptop,2596.13,5,1453.33,Net Banking,12980.65,High,11.20
CUST1093,West,India,West Bengal,56428436,Electronics,Headphones,2209.52,6,3760.49,Net Banking,13257.12,High,28.37
CUST1094,East,India,Gujarat,9705241364,Furniture,Sofa,458.7,7,839.97,Net Banking,3210.9,Low,26.16
CUST1095,East,India,Karnataka,9245776255,Clothing,Jeans,833.16,12,2135.63,Net Banking,9997.92,Medium,21.36
CUST1096,East,India,Uttar Pradesh,9881212856,Clothing,Jeans,238.37,13,586.94,Net Banking,3098.81,Low,18.94
CUST1097,West,India,Gujarat,9916091858,Clothing,Dress,820.05,3,419.41,UPI,2460.15,Low,17.05
CUST1098,North,India,Karnataka,9425191872,Electronics,Headphones,2716.33,8,5513.14,Net Banking,21730.64,High,25.37
CUST1099,North,India,Uttar Pradesh,9459337548,Clothing,Jacket,1918.81,1,442.75,Cash,1918.81,Low,23.07
